id,Label,example
1839,play,go to youtube and play me the best wedding songs collection
3738,audio,please adjust the speakers to a lower more comfortable level
3026,weather,what's the weather like for the next week in chicago
1663,datetime,the time difference between lagos and new york is what
2352,iot,modify the light colors of the house and make them dark instead
12125,transport,hey olly i want to get trains to manchester on wednesday
3384,alarm,please set the alarm for eight p. m. wednesday evening
13255,qa,please give me information about john abraham lincon
3079,music,can you pull up information on the singer of this song
1671,play,play only all music released between the year one thousand nine hundred and ninety and two thousand
3644,audio,i need you to say that last information again but much louder
6758,calendar,add to my reminders to watch new movie today at nine p. m.
12173,transport,find me a train ticket next monday to new york city
10739,lists,i want to know could an extra item be added to my grocery list
51,takeaway,olly list most rated delivery options for chinese food
13019,qa,figure out what percentage thirty is of one hundred and sixty three
1584,news,find the this week's news about emigration legislation in the us please
593,play,can i hear the fifty hits that you can hear on radios now
15781,email,hey google email to caroline how are you can you send me updates on last project cheers tomasz
1190,datetime,if it's midnight in colorado what time is it in munich
6858,calendar,set up the following event in the calendar with the following people
1582,news,give me the latest information about president trump please
10612,lists,take away from the list all food items with prefix dry
3864,music,who sings the song that i am listening to right now
1060,iot,does the robot vacuum cleaner have to be plugged in
3643,audio,google please be extra quiet the baby is sleeping
3179,alarm,please set an alarm for seven hundred and thirty am tomorrow
2228,datetime,i need you to convert nine am c. s. t. to e. s. t. time
10149,cooking,find the highest rated recipe from foodnetworkcom for a four cheese omelet
2697,takeaway,order two medium cheese and one medium pepperoni pizza from dominoes
395,datetime,what is the time difference between eastern time and pacific time
1140,takeaway,order spaghetti from spaghetti warehouse to bring home
1846,takeaway,hey google hey call the nearest chinese restaurant for a takeaway
15828,email,here is a new email address to be added to the contacts
2338,takeaway,make an order for noodles one pack make it as takeaway order
15218,social,can you update my facebook profile picture to the image i took from google office yesterday
6254,general,hi this is john i would like to know the special dish for today
3243,alarm,set alarm for sixth of june two thousand seventeen at five am
1583,news,get the latest news about formula one racing please
9999,cooking,for how much time should i oven pizza to make it perfect crispy
2399,music,what a wonderful song can you save what i just said for me
12193,transport,book a train ticket from los angeles to chicago that goes via miami
1971,music,save the information which is provided by aman on this song
9977,cooking,please search the internet and display the suitable youtube videos for cooking italian foods
9939,cooking,what temperature should the oil be for frying french fries
1984,news,tell me the election result of up which was to come today
777,weather,alert me when the outside temperature reaches sixty eight degrees
15918,email,add a new contact for daniel bell dbell at a. o. l. dot com
6863,calendar,remind me off about my tomorrow meeting sharply at ten
11599,recommendation,can you tell me what kind of show can i go tonight in miami
3642,audio,i can't hear you can you say it again louder
1503,datetime,if it is four p. m. in missouri what time is it in london
805,audio,ok google lower all volume on speakers please
15803,email,email my sister about mom's birthday jane we should think about arranging the party at the park
2291,iot,i will need my filter coffee in ten minutes please ask the coffee maker accordingly
15239,social,please olly tell me the latest video going viral on twitter for topic narendra modi
319,weather,tell me the weather in barcelona in two days from now
797,takeaway,could you please recommend a mexican restaurant for take out
12186,transport,how long will it take me to go to the train station from here
6326,general,i need to have better focus olly i couldn't concentrate on a single task
11679,recommendation,alexa i want to know the best super market in this local area
6849,calendar,prompt me about t. v. program at sixteen fifteen on thursday at b. b. c. four
661,datetime,please can i know what time will it be at six p. m. here in australia
15888,email,could you please gather a list of local restaurants and email them to my husband
1062,news,i want to get hourly notification on financial news
15263,social,post a status using the latest notes i made in my notepad
12148,transport,i need to get to bristol friday night can you book me a ticket please
6805,calendar,do i have any event on my calendar tomorrow morning from ten to eleven
2342,audio,on the music player set the volume level at sixty
15778,email,send email to emilia saying i will be late please don't wait with dinner
10705,lists,check the notes app and give me details of all the lists
15904,email,check my new emails and tell me what are they about
6827,calendar,have you added a meeting with tom tomorrow at nine p. m.
1543,weather,please tell me if there is going to be snow this weekend
982,iot,change the color of the lights in my house from white to yellow
6255,general,i would like to order a meal do have any special offers for sea food
1721,alarm,set alarm of whole week morning ten am in april month
2448,takeaway,place order for a chicken manchow soup from wangs kitchen restaurant
13294,qa,how much is one hundred and thirty six plus three hundred and eighty seven
2655,weather,will the highest temperature be more than seventy degrees tomorrow
3683,music,olly save all the songs i have listened to more than once
837,news,what are the b. b. c. poll predictions for the upcoming us elections
415,iot,change my room lights so that i can get a good sleep
11617,recommendation,what exhibits or shows are scheduled at the metropolitan theater
15207,social,my facebook update in every three hour should be available
7859,transport,how long will it take me to drive to the panic concert tomorrow
15238,social,hi there tell me latest updates of times of india page in facebook
11685,recommendation,i would be happy if you update me the events going on our area
3155,alarm,i need to get going at eight am tomorrow set up an alarm thirty minutes before that
2467,news,is there a way to get the latest breaking news on trump
13259,qa,show me the demographic growth rate of switzerland in the last ten years
15804,email,email james about the softball game james we need to get some refreshments before heading over
11721,recommendation,which rom com movie can i watch in theaters around new york
459,audio,i am unable to hear you can you speak little loud
6234,general,olly i watched the best movie please reserve me a copy when it releases
1446,play,make a playlist of all songs of eminem and play with shuffle
12131,transport,book me a return trip from edinburgh to london by train
15929,email,check to see if new emails have come from title nine
15173,social,let me know what maria has put on her facebook over the weekend
15241,social,hey olly inform me about latest picture updated by priya chopra on instagram
15141,social,are there any interesting stuff happened today in my twitter
1667,play,select and play only christian rock from one thousand nine hundred and ninety upwards
679,iot,i want you to turn off the plug socket before the cell phone is charged
6430,general,where can i find a preparation professional for under dollars
15928,email,send an email to bill that i'm sorry i didn't realize he was so sick
6822,calendar,i want to go to the outdoor movie screening this weekend remind me
2066,news,what were the winning numbers of the powerball lottery yesterday
7742,lists,remove grocery shopping from my to do list on sunday
10148,cooking,find the highest rated recipe from foodnetworkcom for a four cheese omelet
15264,social,tell me the exact count of followers on my twitter handle as of today
1057,iot,i want the robot vacuum cleaner to start at one p. m. today
983,iot,change the color of the lights in my bedroom to red
1708,audio,change the speaker volume to sixty five percent
2290,iot,instruct the coffee maker to make a filter coffee ready in ten minutes
9980,cooking,what is the menu today add some boiled vegetables also to it
6865,calendar,set up a notification about tomorrow's meeting at ten
10754,lists,read back what i put on my to do list for this week
15779,email,email to matthew with content project finished send me invoice please
15234,social,hi olly post my last clicked photo on facebook with title marry christmas
10482,lists,make a list of all the clothing range available on ralph and lauren
15240,social,please alexa tell me the latest video going viral on twitter for topic narendra modi
627,play,play the last hit song of metallica last album please
1725,weather,what will be the condition of weather next seven days
3337,weather,report weather for thirty three thousand seven hundred and seventy four
6391,general,olly i went shopping today and bought a massive dildo
832,weather,hey what will be the predicted weather for tomorrow
6382,general,hey what has been happening interesting in sports lately
2127,news,was anyone arrested at the protest today in chicago
631,news,set notification for news about the dakota pipeline
15801,email,did i received any emails from kevin and what did he say
10641,lists,add these documents to the things i need to travel with
2610,takeaway,i've canceled the order placed at mcd did it go through
12988,qa,what is the plot of the most recent will smith movie
6221,general,i do not know how to answer this question you left a word or two out
10867,lists,olly list me the remainder of things left on the list
15878,email,look up for the residential address of my team leader
1509,audio,do not make any noise until morning alarm
11598,recommendation,please let me know the dog shows events going on in my home town
766,news,could you please search my new news provider for the latest news
12150,transport,olly book me a ticket to paris on eurostar this weekend
1023,takeaway,find out if the olive garden will let me do takeaway
1235,datetime,what is the time at singapore when our time is five p. m.
10014,cooking,i want to know the procedure of making thanksgiving turkey in five sentences
11632,recommendation,please tell me where i can get a drink nearby after midnight
15908,email,send a reply email thank you very much to john at gmail dot com
6856,calendar,give me a reminder notification on tomorrow's meeting at ten am
185,play,turn on my playlist and play third song in the queue
9976,cooking,hey robot give me a list of ingredients for welsh rarebit
10598,lists,my list should be ready mind telling me what's on there
10614,lists,the list should not contain all food items with the prefix dry
12183,transport,are there any accidents on the four hundred and five
12234,transport,book a business class seat on the next train to new york city
13308,qa,how much is remaining after subtracting four from eight
12147,transport,olly i need to get to bristol friday night can you book me a ticket please
12211,transport,is there any train plying from pune to mumbai tonight
11600,recommendation,what movie can i watch tonight on the theater here in boston
1542,weather,the sun is shinning bright will we have this weather for the rest of the day
12983,qa,what are the oil prices like today for a barrel of crude oil
2592,audio,i've got a meeting by tonight seven p. m. please mute the music for an hour
2696,takeaway,order chinese from china spring wonton soup and a small beef and broccoli
693,takeaway,i just ordered food call and see it has been delivered
830,weather,hey its too hot outside what is the temperature this afternoon
12204,transport,could you please hire me a taxi to go to the opera tonight
6192,general,i was late today for the meeting you would not believe what happened
15219,social,this article is super cool can you share the link to facebook for me
1193,play,olly i need to hear notorious thugs by bone thugs now
2351,iot,olly put dark colors instead of light ones in the house
2542,iot,make the bedroom lights red and the hall lights normal color please
1504,datetime,it's eight at night in france what time is it in new york
4147,music,make sure my shuffles are always repeat and always shuffled
6819,calendar,olly there's a good band playing tonight at nine at jazz bar i want to go
1673,play,between one thousand nine hundred and ninety and two thousand music album is only to be played
15170,social,has at realdonaldtrump posted anything new on twitter
1878,music,which was that coldplay song i listened to yesterday evening can you play it again
1360,iot,please raise the light i am not comfortable at this
10217,cooking,find the recipe for sambar in cookingforu application
9978,cooking,could you please display the videos for cooking italian food
6874,calendar,what important dates are there in my calendar this month
757,iot,turn on the wemo plug socket to connect my charger to it
6826,calendar,add repeating event on saturday on seven am named cinema time
6327,general,i need to have better focus olky i couldn't concentrate on a single task
15307,social,i haven't checked my facebook yet are there any updates from my close friends
900,news,let me know any updates about new trump cabinet appointments
3715,music,please save the remarks i have on this current song
10845,lists,i have already given mark his gift today please remove him on my christmas gift list
6268,general,if you had to kill someone to save three people would you do it and if so why
2673,alarm,did i remember to set a reminder alarm for my next doctor's appointment
4638,audio,change volume settings in the negative alexa
10619,lists,i want to start a new list of power tools on sale at true value
1162,play,please play all the songs in high volume and make adjustments to pop music mode
15802,email,reply an email to jason that i will not come tonight
10476,lists,it's make me good lucking guy inside very very horkersd wo
6766,calendar,remind me to go to the gym every monday and tuesday
1678,music,nine hundred and ninety nine f. m. is currently playing what music
11678,recommendation,i would like to know the best rating pubs in the local area
8788,recommendation,searching for recent happenings on the particular dates
15276,social,post a new status on facebook saying that i am enjoying the nice weather
4447,transport,olly you need to find an alternate route to my destination
1902,news,what does the analysts say about the new immigration policies
15195,social,check how many likes did i got on my most recent post
662,datetime,can you tell how many hours of difference are between boston and los angeles
15926,email,send an email to rae telling her my phone is back in service
2627,audio,change my music player volume to eighty percent
765,news,could you please give me up to date news headlines from my newest provider
281,news,what is the exchange rate of us dollar to pound sterling
15167,social,please update my status on facebook with good evening
2580,audio,please be silent until i tell you not to be
11629,recommendation,is there a well rated pizza place between fourteenth and eighteenth streets
1680,audio,increase the volume of the music to ninety
12178,transport,how much traffic is there right now in bowery street
9970,cooking,is there anything to do with quinoa to make it not taste awful
4446,transport,you need to find an alternate route to my destination
404,iot,can you change the light colors into dark in the house
6817,calendar,olly i need to remember to get to the shops before they close
12192,transport,book a ride from new york to orlando covering ten places to see
15162,social,who has responded to my business within the last twenty four hours
1631,audio,i need to hear the volume of the current music
2308,datetime,it is ten am in eastern standard time what time it is now it pacific standard time
2472,datetime,is the time currently correct for where i am located
1013,datetime,how many hours difference is hong kong from new york city
12127,transport,i need to go to dundee at five am on sunday by train
736,audio,could you please yell the answer out to me
1191,datetime,if it's sunrise in stockholm what time is it in okinawa
1189,datetime,if it's ten p. m. in california what time is it in alabama
11610,recommendation,give me the list of circus shows going on in the city right now
2930,music,i like this song what is it can you please repeat it once
15265,social,give me details of my twitter handle profile including the total number of followers
1668,play,only christian rock from one thousand nine hundred and ninety upwards is to be selected and played
592,play,please turn on the music i want to hear my favorites songs
3114,music,i love this music can you please save this to my dance playlist and remember that i like it
11582,recommendation,is there anything happening on jazz scene around edinburgh
2198,datetime,what day of the week was december four one thousand nine hundred and eighty two
3313,alarm,i need an alarm for sunday at eight am can you please set one for me
10601,lists,i think i ran out of this can you add it to my list
1024,takeaway,i want to know if the olive garden provides takeaway
10852,lists,what are the names of the lists that i have created
612,alarm,please ring the wake up alarm at eight am next saturday
15907,email,send will do thanks to john as a reply to his last message
2877,alarm,cancel the alarm that is set for tomorrow at eight am
6742,calendar,set regular bi-weekly meeting on fridays three p. m.
452,news,who is currently leading in the parliamentary election
15921,email,alexa add erosser at hotmail dot com as a new contact for emily rosser
1720,alarm,set alarm of every tuesday of march month morning eight am
1632,audio,the volume of the music playing now should be raised
15155,social,can you upload my latest selfie in my facebook account
1461,takeaway,place a takeaway order for a cheeseburger and fries from burger king
815,news,open my morning briefing email from the new york times
13053,qa,alexa i would like my to tell me the trend on foreign exchange rates
13284,qa,tell me the story of ramanujan and his mathematical journey
1021,music,is there any rap that doesn't involve sex money and drugs
1672,play,all music released between one thousand nine hundred and ninety and two thousand is only to played
980,audio,it's really loud can you please turn the music down
1728,weather,please confirm the weather for the thirteenth of this month
2929,music,can you turn down the volume please and tell me what is the title of this song
15176,social,let me know if i get a new personal message from martha on facebook today
11602,recommendation,what are the best italian restaurants in los angeles
1988,iot,hey alexa turn on disco lights in my apartment and let the party begin
2001,iot,if my vacuum cleaner is not activated please activate it
10045,cooking,can you give me a recipe for homemade chicken noodle soup
10011,cooking,select the type of meal whether a break fast lunch dinner
275,music,what the singer meant by the title of the song bohemian rhapsody
6811,calendar,olly can you remind me about the gym class in two hours
11637,recommendation,tell me the movie with best i. m. d. b. ratings going on in theaters near me
4728,qa,turn on notification for all news on the stock market
6235,general,i watched the best movie please reserve me a copy when it releases
381,play,please open my music application and play games by disturbed
2616,weather,am i going to have to worry about the snowplows burying my car in the driveway tuesday
3693,alarm,olly i need an alarm set for five hundred and thirty am tomorrow
15752,email,find me all mails from magda with holidays word in the title
1687,weather,is it a yes or a no that tomorrow's temperature will be hot
387,news,let me know as soon as there is more news on brexit
4099,alarm,just to confirm you set the alarm to go off at eight hundred
4343,audio,raise the volume of the speakers to fifty five percent
15889,email,could you please send and email to my friend susie letting her know i won't be at church tomorrow
6820,calendar,there's a good band playing tonight at nine at jazz bar i want to go
6335,general,olly you'll never guess what happened earlier today
1185,news,what is the latest local news for the greenville area
1679,music,what music is playing now nine hundred and ninety nine f. m.
6732,calendar,add meeting reminder for sunday with my parents in law
1803,news,which teams are playing today in the premier league
254,play,olly play a good track from my favorite jazz player
956,alarm,set my alarm for six thirty in the morning tomorrow
11605,recommendation,what is the best sports bar with vegetarian options in l. a.
11609,recommendation,what is the latest action movie running in theaters
13098,qa,olly what is the total number of oceans in the world
1743,takeaway,find and order rasgulla of janta sweet home pvt ltd
10221,cooking,setting up a food processing business in our home has advantages and disadvantages
992,play,after this song ends i want to hear hotel california next
15813,email,olly alert me of an email from dave about the meeting
1603,alarm,check whether i have set any alarms for tomorrow morning
1686,weather,is it a yes or a no that tomorrows temperature will be hot
630,news,let me know when there is news on the dakota pipeline
1741,music,hey olly please tell me the name of this song that is currently playing
1177,music,what are the lyrics to the song i will always love you by dolly parton
11597,recommendation,can you recommend some dog's how events going on in our city
2609,takeaway,remember i've ordered a cake for tonight's birthday party let me know the status please
13311,qa,i've got dollars for the month how much can i spend every day this month
943,datetime,if it's eight p. m. on the east coast what time is it in sacramento california
749,audio,increase the volume so that i can hear it in other room
1231,takeaway,can you direct me to the menu for the highest rated chinese carry-out near me
13277,qa,how long till the eventual heat death of the universe
6270,general,ask me easy questions about a subject i know and tell me when i'm wrong
9957,cooking,how long should you cook a whole chicken in a three hundred and seventy five degree oven
2447,takeaway,i feel like having soup for lunch order from wangs kitchen restaurant a chicken manchow soup
1730,takeaway,checkout domino center near me and order cheese pizza
12122,transport,schedule an uber in twenty minutes to tesco on fifth street
6188,general,dolores do you notice something odd about your world
1768,datetime,convert one thousand and thirty from g. m. t. plus two hundred and thirty to g. m. t. zero hundred
15270,social,will you please post this to my facebook i love you
1565,news,what was the news for march fourth two thousand and seventeenth
15811,email,olly let me know if i get a message about the party from jane
1585,music,please save my opinion about the song that is currently playing
1198,weather,tell me what was the temperature in our city at twelve p. m.
1068,iot,is there anything i need to know before i activate the robot vacuum cleaner
2293,weather,is it probable that there would be rain in the forecast today
4370,audio,raise volume to level seven on music player
2335,alarm,put an alarm and wake me up at six am tomorrow morning
15232,social,listening song of arijit singh post it on my facebook account
2671,alarm,would you please check to see if i've set my alarm for tomorrow morning
1234,datetime,what is the time in india when the time in us is twelve p. m.
2679,weather,will the temperature stay about the same or is it going to get colder
9961,cooking,what is the best oven temperature to roast potatoes
11648,recommendation,is there any concerts taking place in new york today
1879,music,olly which was that coldplay song i listened to yesterday evening can you play it again
831,weather,hey google hey its too hot outside what is the temperature this afternoon
677,iot,please turn off the plug socket of my phone when it'll be charged
10774,lists,could you open my list app and check for groceries please
6842,calendar,did i set reminder for tomorrow meeting at five p. m.
4583,alarm,ask them to remember always to lock the door and keep a careful watch on their keys
282,news,who is going to win the next elections in the france
1727,takeaway,please could you tell me if george's geek restaurant can i order takeaway from there
394,datetime,if it is noon in virginia what time is it in california
10015,cooking,in five sentences let me know the procedure of making thanksgiving turkey
6844,calendar,set reminder for tennis game with peter on sunday at four p. m.
3903,alarm,please remove the alarm set for wednesday called kickball
12990,qa,what is the lowest population per square mile in africa
3694,alarm,i need an alarm set for five hundred and thirty am tomorrow
15228,social,how many likes i have got on my eggless cake post on youtube
12144,transport,i am going to chinatown in half an hour book an uber for me
15927,email,send an email to julie that i can meet up with her on saturday at one p. m.
15273,social,please let me know what's happening to my social media
1723,weather,what will the weather conditions of lucknow on ninth february two thousand and seventeen
6385,general,what features do you have planned to release in the future
10953,lists,eliminate the list kickball but make sure the contacts remain
2247,weather,is it still going to be rainy and cold on wednesday
2349,iot,replace the current light colors in the house with dark ones
3828,alarm,i need to delete the alarm for church on sundays at eleven am
11638,recommendation,are there any interesting events going on around my location
3228,datetime,what day of the week does christmas fall on this year
2145,datetime,was christmas one thousand nine hundred and seventy two on a weekend
6208,general,it is awful day it looks it will rain the whole day
10977,lists,hey can you delete the list of things i needed to get from the store
11630,recommendation,olly is there a well rated pizza place between fourteenth and eighteenth streets
1480,iot,can you change the living room lights to a softer color
13054,qa,i would like my to tell me the trend on foreign exchange rates
15252,social,show me a list of places where my relatives have been based on their photos
626,play,please let me hear six hundred and sixty six the number of the beast
6813,calendar,could you remind me to take the bins out on thursday
10071,cooking,how long do you cook a whole chicken on three hundred and fifty
12126,transport,hey i want to get trains to manchester on wednesday
2647,music,could you please create a pandora channel for adele
10978,lists,i want you to delete my shopping list from last month
10145,cooking,find the right amount of cinnamon for the garam masala
3120,datetime,if it is twelve hours ahead of eastern standard centaur time what's the time in the philippines now
1386,datetime,what was the date of two wednesdays back from today
12165,transport,book my chair class a. c. train ticket from manhattan to new york
4539,email,i did not want you to send that text yet wait until i say send
1226,datetime,give me the date of monday on third week of this month
3267,music,please save my rating on this song it is five stars please
11613,recommendation,what baseball games are scheduled for this week in tulsa
1439,play,download the latest folk songs having rating of four star or above and play all without shuffle
10043,cooking,how many cups of sugar in texas sheet cake frosting
2100,takeaway,how much does general tsos chicken cost at peking garden
11623,recommendation,search local events in zip code twelve thousand one hundred and twenty one
15171,social,get me updates from kenny's facebook from the weekend
6309,general,i don't want to take any more calls after five p. m.
2355,music,which film the music comes from what is the name of the music
2265,weather,tell me what the weather is doing in grand rapids mi right now
3255,general,olly give me the most recent stuff you have angelina jolie
11737,qa,olly how many stars has swat received on i. m. d. b.
10142,cooking,find the correct temperature for frying a whole turkey
15308,social,i heard ale just got married can you please show me the wedding pictures on their instagram
1616,news,alert me if any topic relating to politics comes up
6809,calendar,i will attend lily's wedding next week with my boyfriend please add it to my calendar
13058,qa,what is one hundred and twenty three times one hundred and twenty three
308,takeaway,order a takeaway sandwich and soup from the italian's
818,play,go to pandora find twenty one pilots radio play please
3126,general,alexa how many tornadoes have there been this month
10105,cooking,how long should i cook a steak to achieve medium rare
10600,lists,please update my grocery list with one gallon of two percent milk
5233,qa,who was appointed as deputy centimeter of uttar pradesh
15175,social,let me know if linda posts anything on my facebook today
1274,calendar,can you confirm that my meeting for tomorrow has been canceled
2449,takeaway,from wangs kitchen restaurant home delivery for a chicken manchow soup
1963,play,hey siri play me an automated playlist based on songs heard in gaana app this week
695,takeaway,call the restaurant to see if the delivery is on the way
10030,cooking,i need a puttanesca recipe that pre dates one thousand nine hundred and seventy
13075,qa,tell me why bill bur is a better comedian than iliza schleshinger
3580,audio,turn on silent mode until my alarm goes off
10503,lists,add the post office to my list of errands for saturday
6263,general,hi there congratulate me i got a promoted in my job at office
11665,recommendation,olly i'm looking for some dress shows can you find clothing stores within one mile
6209,general,it would be great to dinner in this new opened restaurant downtown
13134,qa,who is the person behind the song of taylor swift back to december
10613,lists,all food items with the prefix dry should be taken away from the list
1112,play,play one thousand nine hundred and ninety nine by prince
12149,transport,olly book a ticket to paris on eurostar at five p. m. this friday
12129,transport,book me a ticket for a train to new york from boston in two days from now
6328,general,there are certain parts of my day where i am fatigued
1098,datetime,what day of the week does the fifteenth of march fall on
10060,cooking,how long do i need to cook a brisket for it to be medium
15805,email,email david about the meeting tomorrow david can we have the meeting in the afternoon
15859,email,forward shown content to blahblah at blah dot com with email
3684,music,google what songs have i listened to at least ten times
3249,alarm,cancel alarm for tenth of march two thousand seventeen
1662,datetime,what is the time difference between new york and lagos
10945,lists,i want to cancel the recording i have on the d. v. r. list for this morning
13191,qa,tell me the simple interest of seven with interest in two year
6723,calendar,olly what's my agenda for the remainder of the week
6825,calendar,add a reminder on thursdays at eleven and thirty am and name it dance classes
767,news,could you please find me the latest news from a source that i do not usually go to
30,iot,cleaning is good dust is so bad do now your magic clean my carpet
6292,general,hey i happened to miss one of my important meetings today
1460,takeaway,i would like to pickup a veggie sub with a cookie from subway
6329,general,there are certain parts of my day where i am fatigued olly
2111,datetime,when it's ten p. m. here what time is it in brisbane
9997,cooking,what does one have to damage in cream to make butter
12205,transport,could you please have uber be at my house in fifteen minutes
11684,recommendation,i would like to know the events happening around here
2188,iot,olly can you please turn off the light of my bed room
199,takeaway,does my favorite pizza place available for takeaway
12221,transport,give me directions to get from here to crescent city brewhouse in new orleans
1669,play,christian rock from one thousand nine hundred and ninety upwards only should be selected and played
2628,audio,lower my music player volume by fifty percent of its current level
2390,news,can i get a list of the news from the wall street journal
1712,music,filter all arijit singh sad song and save or create playlist of sad songs of arijit singh
12152,transport,what is the most convenient hour to catch a train to york on saturday
2146,datetime,what's the date of the winter solstice two years from now
1670,news,facebook launches disputed tag to crack down on fake news
2608,takeaway,what happened to my pizza order it has been an hour since i ordered
3286,weather,what is the chance of thunderstorms today in biloxi
4890,calendar,set notifications on the current weather disasters in america
15861,email,send an email to mom subject weather body what is the weather like there this week
307,takeaway,alexa i would like to have a sushi can you order me a lunch
3905,alarm,kickball is over i do not need the alarm for kickball on wednesday evening any longer
6835,calendar,give me the address of my hairdresser for the meeting today
2672,alarm,how many alarms do i have set for morning hours between six and nine am
3870,alarm,what is the wake up time for my alarm i have set for the flight this weekend
1726,weather,what will be the highest temperature in coming week
3829,alarm,please remove the alarm that is set for weekdays at nine
2025,iot,please make coffee according to my earlier preference
13253,qa,what is the square root of one hundred and forty eight thousand five hundred and eighty seven
3256,general,give me the most recent stuff you have angelina jolie
10723,lists,hey olly make a list of names starting with vowels and ending with vowels
3113,music,i hate this song please remember that so that i don't hear this song ever again
12179,transport,what is the traffic situation right in broadway street
3051,iot,olly change my light color to blue and please turn off the kitchen light
13046,qa,what is the worlds record for the longest head of hair
1964,play,hey olly play me an automated playlist based on songs heard in gaana app this week
6823,calendar,olly i want to go to the outdoor movie screening this weekend remind me
1482,iot,can you make a red shade of light in the living room
6876,calendar,please schedule a meeting with brian billings in accounting
1740,music,please tell me the name of this song that is currently playing
2179,weather,can you please tell me the current weather condition
10031,cooking,i need a recipe that is from ingredients on my shopping list
1541,weather,i don't want to carry an umbrella will we have rain today
11686,recommendation,please update me with the list of events happening in my area
4092,audio,mute my speakers for a minute here i need to make a call
1404,weather,can i please have the weather for tomorrow here in costa mesa
3006,music,what is the name of the artist that created this song
231,takeaway,could you please help me to order some sushi from deliveroo
2564,alarm,please set the alarm for next friday at six thirty am
729,play,play the latest songs by senelena gomez after this one
4398,audio,please turn the volume to the loudest setting
6447,recommendation,find a grocery store in town that carries creamed pickled herring
4189,music,what would you call this kind of music that we're listening to
2344,weather,what will the weather be like in oklahoma city on monday
15780,email,email to caroline how are you can you send me updates on last project cheers tomasz
1977,alarm,please remove the alarm which i set for today morning
2295,news,please provide me with notifications on the election results
1681,audio,the music volume should increase to ninety
1069,general,should i be concerned about the robot vacuum cleaner upon startup
1962,play,hi google play me playlist wacky in my gaana application
10222,cooking,this fact sheet provides considerations for how to set up your food processing business
547,audio,please increase the volume of the music hips don't lie
13189,qa,tell me which stocks were the biggest gainers in stock market nasdaq today
1194,play,play rein in blood by slayer at five am tomorrow to make sure i actually wake up
1429,play,make a playlist of all songs of justin bibber and play with shuffle
1302,news,is narendra modi the indian prime minister visiting any country now
12182,transport,what are the traffic conditions on the one hundred and one
1430,play,find and queue all songs of kate perry and play all without shuffling
10016,cooking,thanksgiving turkey cooking procedure in five sentences is what
1703,iot,my vacuum cleaner should start between ten to eleven am everyday
