id,example,Label
ss244147,i feel is comfort a gentle blanket of left over love on a brilliantly sunny and unnaturally quiet day perhaps to offer me a clarity that only stillness provides,love
ss206662,i feel ecstatic about life,joy
ss288438,i do not feel it is a coincidence that the harvest moon is coming up on the th and falls pretty much on my asc,joy
ss226384,i feel a little more hopeless,sadness
ss176602,i just feel that this is something i am passionate about so should put all the time and effort in to make it the best i can,joy
ss366748,i lost a few people which i hate because i have a really hard time letting go of people to whom i feel loyal,love
ss231940,i love my one very energetic friend dearly xd but ive been around her so much more than i have before and i love seeing her all that time but i walk away feeling like ive been waaay too energetic,joy
ss85132,i thought i would spend most of my time feeling very insulted on behalf of women everywhere over the way that the lead heroines clothes what little there are have a tendancy to fly off at the drop of the hat the game itself was,anger
ss246458,i really want to help new students feel confident and settled so they can focus on their academics and excel in their studies,joy
ss364449,i started to feel a bit embarrassed by it,sadness
ss321624,i feel gloomy moody sad helpless,sadness
ss222869,i feel inspired compelled or simply in the mood too like today regarding a very important to me occurrence that only takes place one time per year,joy
ss98213,i know that this pair of socks took about two months to make but i feel that was because yours truly was truly distracted by the strings as i like to call it,anger
ss255928,i feel as though im not really caring for anyone right now in any sense really so im feeling kinda down,love
ss317499,i don t feel brave enough to stop running and face the figure yet but i know one day i will have to,joy
ss243150,i never feel inhibited around you,sadness
ss242187,i am sorry i have not communicated this until now but i want to tell you how i feel about fill in the blank,sadness
ss357784,i like that ive been expanding my horizons and have chosen to include something that lets my mind take a break but still feels like i am reading something worthwhile,joy
ss34489,im ending the day feeling a little numb,sadness
ss332942,ive been feeling kinda crappy the last couple days so am just kind of in a blah mood,sadness
ss411461,i feel so petty talking about this with all the actual things going on but i love those little ferrets,anger
ss247082,i were feeling no pain and we just jumped up and grabbed microphones and told them to play sweet home alabama and they obliged and we sang with them and it was probably god awful,joy
ss265451,i mean i want to discuss another persons faith and ask questions and explore my own feelings about it without feeling that if i dont change my faith by the time the conversation is over then im either somehow defective or ive insulted someone,sadness
ss345954,i had the feeling i shouldn t be getting all bothered over her but i couldn t help it and i couldn t do much to stop it either,anger
ss74615,i am still unsure my feelings are completely pleasant about,joy
ss135187,i make myself a huge fancy salad that makes me feel like i m at a restaurant and i thank god for my delicious meal as i savor every bite,joy
ss405621,i like the set up the ease of use it feels friendly,joy
ss203489,i took my measurements today as well so that i can keep track of those and sadly if any thing it made me feel disappointed in myself and somewhat depressed,sadness
ss221298,im feeling so disappointed,sadness
ss242139,i am still feeling shaky and unnerved by the entire situation,fear
ss347406,im tired of feeling hateful of wanting to make sure you suffer,anger
ss306249,i feel so insecure i know that i just need you like ive never done before,fear
ss221971,i feel your absence and it is overwhelming and sorrowful,sadness
ss17565,i feel like if meg had more room to grow the character i wouldve liked him better than having him simply propped by jon and creepy,love
ss284439,i was bustin loose in the meantime and bustin loose made me feel fine,joy
ss328853,i got the feeling it was just a friendly visit rather than anything official,joy
ss188103,i feel like everyone just gets annoyed with me so easily,anger
ss25711,i feel amazed the persons who lives with me full of the day nd they feel i m very egostic,surprise
ss253577,i am going for my routine eye exam and i feel thankful that these necessary yearly appointments are covered,joy
ss80197,ive also been loving the s feel hence this mad half pony tail thats lying on my face but it keeps my hair away which is a plus on a hot day,anger
ss235532,i feel like such a tramp but i simply cannot be bothered,anger
ss316356,i find candles quite relaxing its nice to have one burning even if im just browsing on the computer i think the heat helps me feel relaxed as well as the pleasant smells,joy
ss263120,i fully expected to feel nervous panic impatience scared etc,fear
ss168383,i talk with seem to feel they cant bake or that there is some mystery to successful baking,joy
ss43402,i feel about how i was then but fond memories taking limited supplies and trying to decorate for a theme smiling enthusiastically as year olds stumbled through memory verses cheering as they played a group game with not much point but lots of running,love
ss7629,i said to the guys afterwards that i feel there s some really positive energy coming out of our trip to the states curtis said,joy
ss320659,i have struggled with feeling worthless feeling like i didnt matter,sadness
ss97337,i was that i bombed that first interview i left the second interview feeling pretty fan freaking tastic,joy
ss11998,i brings a friend by they loved her they appreciate even the smallest thing she does i stand them cant help but feel jealous and remember how welcoming i may feel when i visit someone else too,anger
ss263726,i feel like the amazing opportunities afford to both jay and i have both pushed us towards success and left us entirely unsure about how to find a career we can make a living with and be happy,surprise
ss172010,i feel embarrassed that i cant get it right,sadness
ss208786,i feel hesitant to do it since i don t have any experience with programming and all,fear
ss278871,i feel as if i would have enjoyed going to school with the author and would have liked to be her friend,love
ss207134,i found myself becoming bold aggressive dangerous feeling needy dependent and addicted,sadness
ss380753,i recently tried to explain to my husband the way i ve been feeling the past few months pretty much ever since my mom passed away,joy
ss170148,i expected to feel jubilant,joy
ss68476,im at least feeling quite tranquil these days,joy
ss255587,i accept aswell been in the abominable bearings of getting in accessible with an unobedient dog and i can say i feel the affliction of the agitated parent,anger
ss359662,i feel everything that im trying to learn and put into practice during this life goes to the basket of ignored principles when it comes to fully realizing them,sadness
ss173842,i really feel the most compassionate about and am drawn to the shared secrets where the undertone is guilt,love
ss402595,i am experiencing dating overload feel i becoming jaded in direction of online dating,sadness
ss408215,im feeling very indecisive at the moment,fear
ss136747,i feel like im a little deprived and then there are days where i feel like i am eating so much food,sadness
ss220851,i feel impatient but i should have plenty of time left,anger
ss125863,im feeling a bit special,joy
ss180856,i feel pity anger and sadness for those who could still recognize their beloved despite the stench and decay,joy
ss206772,i said i cant help but feel sympathetic towards someone who is alone even if its their fault,love
ss203663,i feel peaceful but lincolns birth will always carry a different weight with it,joy
ss327060,i feel a bit idiotic i guess saying that,sadness
ss112961,i thought my feelings for him were sincere but i also thought love was a two way thing,joy
ss5800,i used to be pretty decent about it but anymore i just feel like anything i have to say is petty and depthless,anger
ss250699,i know i ll probably say the same things when i ll be stuck working shifts at some hospital amp i ll feel even less energized or passionate about life as i am now,love
ss47163,i feel that i always be selfish with you and you still be patient,anger
ss287909,i feel like we are rushing past this incredibly important holiday,joy
ss202745,i know when i have stuff on my mind or i m feeling shitty about something that smoking pot just makes me feel worse about it,sadness
ss49301,ill feel im still looking after this special place of mine but also concentrating on my home and family,joy
ss238111,i feel not confident using that and still think that i use it incorrectly over make up,joy
ss363981,i had a feeling this little girl was going to arrive soon but i still felt very unsure of when it would actually happen,fear
ss319877,i went into the weekend feeling defeated and worried but today mother s day reminded me that i am so blessed,sadness
ss264132,i know this much is true the protagonist has a twin brother who suffers from disabling schizophrenia and for much of his life domenic feels the need to take care of his deeply troubled brother,sadness
ss392348,i didnt feel like getting into it so i assured him that i would take care of the wine,joy
ss282514,i am actually feeling optimistic about my back and my future in movement,joy
ss296792,i dunno just feels more sincere,joy
ss364856,im feeling this funny tickle in my gut that is suggesting ever so kindly that i need a plan,surprise
ss44737,i am about to go to johannesburg which is more vigorous urban alive and i m feeling timid,fear
ss265605,i feel like i m moving into a space where i need to be consciously more gracious with both myself and others,joy
ss390675,i know i know we all struggle but i feel like i am the most stubborn christian in the world lol,anger
ss374397,i can compromise but not if i feel i am being abused on some level,sadness
ss224732,i feel so ducking weird,fear
ss270330,i knew where things was headed but that didnt really prepare me for the heartbreak even i would feel my heart broke for danielle and all other military wives that have had to go thru losing their husband trying to protect our country,sadness
ss323628,im feeling quite positive at the moment,joy
ss43551,i wish you would go to express so that i wont get to meet you if you dont forgive me and feel remorseful for your own actions by calling me a sissy,sadness
ss342264,i still feel its a little shaky at times and can move into the slightly odd jades hair in particular seems prone to this but generally it works well with spencers writing,fear
ss75046,i feel its a regret and unfortunate,sadness
ss82673,i said goodbye to the creases as well as to her strong straight nose her little flat mouth and the bony hands which had encased her head only a week before as she sat in her chair in the hospice feeling miserable and ill,sadness
ss45926,i will feel repressed and agitated about her role in nnts house and his party,sadness
ss251117,got a package from my parents,sadness
ss365838,i realized that often times that isnt the reaction i started to feel proud about how nice i could be to cl mence especially since this was before jude was born,joy
ss33194,i feel so shitty well theres a little feelings flow but thats that,sadness
ss325637,i took a deep breath and i jumped off the platform head first over the nile river and was overwhelmed by the feeling of freedom that rushed over me,anger
ss363769,i feel as though this was so rude to not even offer to help,anger
ss202579,i feel so thrilled to have three such distinguished individuals such as yourselves here,joy
ss88773,i awoke feeling more groggy than the previous night s two pisco sours merited and with a bit of a cough,sadness
ss394481,i had a feeling she would love it even if she hated the actual match,sadness
ss82182,i do i still feel angry and hulkish at people who behave in ways i struggle to deal with and am losing the ability to put up with people who say things i find rude if i ever had the ability to put up with this in the first place,anger
ss244474,i can t tell you what an amazing feeling that was to know i am helping a total stranger that needs help with the gift of free heating oil,joy
ss246911,i feel paranoid that i have burnt a bridge with her mother with whom i have hitherto had a good relationship,fear
ss335217,im feeling so energetic,joy
ss354100,i feel so reluctant to share much on here,fear
ss151845,i think that s how our materialist friends feel when they hear the term intelligent design,joy
ss116740,i feel a bit intimidated by that,fear
ss227656,i feel a sense of melancholy whenever i visit the walls reading the history books i feel a bit sorry for the walled city,sadness
ss37784,i feel that i am less timid about others reading the things that i have written which allows me to be more confident in my writing,fear
ss307400,i feel a bit morose and my mouth is quivering a bit like when youre about involuntarily begin crying,sadness
ss77870,i had missed while i was feeling so lousy,sadness
ss304621,i feel like all of the timing is perfect,joy
ss148984,i have this crazy feeling that no one cares or theyll think im weird for thinking certain things or saying certain things,surprise
ss209757,i realized it was all confused with the feeling that they were really like beloved brothers,love
ss305918,i feel ungrateful to be always complaining about how my mother in law likes to buy things for my household but thats why we have this blog right,sadness
ss94682,i feel just unpleasant to be around and that makes me sad,sadness
ss281234,im forced to stay where im currently living i dont want to but due to custody issues i might have to i will be even more alone than i already feel the one thing that ive been afraid of all my life is slowly happening and its all my fault,fear
ss416200,i spent most of the day feeling very grouchy as i forced myself around the house putting through loads of laundry paying bills cleaning up and planning for the upcoming week,anger
ss19649,im feeling more lively than yesterday,joy
ss230925,ive went through in life i feel priveledged and thankful for every oppurtunity to escape,joy
ss185540,i feel overwhelmed when i see my son more than my daughter relish his meals whenever he spots a piece of fried pomfret or kingfish in his plate,fear
ss404648,ive been feeling very troubled lately and lucky for me i get to read about every psychological disorder known to man in psychopathology class,sadness
ss267792,i get the feeling of a bitter sweet memory in this work,anger
ss209846,i was feeling pretty groggy,sadness
ss333806,i didn t take into account your feelings around longing for contact with me in that moment,love
ss397266,im feeling slightly disturbed that i picked up and read two books back to back without any prior knowledge and they both included digging up the dead,sadness
ss248931,i don t feel convinced that he s going to listen and what s more he s now gone wireless and i ll lay good odds that it isn t secured either,joy
ss63844,i feel distracted in other places,anger
ss117366,i feel insulted when people uses cute to praise me,anger
ss362733,i feel audiences are more jaded and there is less material available to push boundaries,sadness
ss59831,i could feel myself centring finding my core my submissive core,sadness
ss368142,i feel most like a joyful child when i am out teaching young people about horses and showing them the joy of relating to another being,joy
ss410623,i normally have no problem with that thought im currently feeling a little nostalgia dangerous emotion that,anger
ss7291,i feel like i get very distracted and if you notice in the video i never put my clothing away,anger
ss157506,i feel frantic to push to the front of the stage so people believe that i m okay and well formed,fear
ss212400,i find it impossible to explain exactly why i m feeling so restless,fear
ss187748,i hate read feel jealous of all of my colleagues who have come here from other places and so typically have a higher academic rank a href http fencingbearatprayer,anger
ss279452,i truly feel passionate about literacy and writing skills and imagination and combined mental emotional growth through the written word,love
ss122754,i feel like maybe even the rest of the bunch knows how you re affectionate more than i do,love
ss249151,ive been able to be on the computer for something other than work and i feel like ive been neglecting you my faithful few followers,joy
ss231824,i think it would be a very interesting topic because i feel that a lot of people are also curious,surprise
ss74093,i covered myself from feeling too overwhelmed by the idea by going into partnership with a friend,surprise
ss399186,i have been feeling a discontent with my imsovintageshop,sadness
ss21003,i feel so loved and lucky and happy to get to celebrate these momentous occasions,love
ss379965,i officials feel americans need to be shaken awake,fear
ss46537,i feel like i dont need to remind you all that artistic details can be very deliberate in morrisons books,joy
ss155214,i remember feeling almost a little annoyed at having to think up an obligatory wish list,anger
ss134714,i feel blessedly fearless in every other major area of my life these days sitting here thinking about it now that s a pretty amazing thing to be able to say,joy
ss320469,i don t like the guy but i don t feel hostile toward him,anger
ss228530,im walking out the door i can feel the delicious fumes of kevins breakfast floating up through my nostrils and i get jealous,joy
ss346718,i feel safe now perhaps its not so unreasonable but its too late because ron is pulling me down with plenty of reason bottled up in his paws,joy
ss288073,i feel good in them,joy
ss96086,i wholeheartedly miss being with someone like that someone who made me feel so giggly and i was so gaga over him it was crazy,joy
ss287179,i also feel its dangerous for me to be in the usa if this happens,anger
ss235758,i struggle with this one mightily and i have tried very very hard never once to tell you you are being too sensitive or to get over it when you feel hurt,sadness
ss88192,i will look at what we started with in the tories which was a promising beginning when they gave us the feeling that they really cared about our tax money and the privileged use of it,joy
ss203537,i feel frightened that i allowed that to happen,fear
ss47914,im usually so strong but she has this ability to make me feel like a naughty child that doesnt know what shes talking about,love
ss201196,i used to feel smart,joy
ss260779,i feel the heat for sure,joy
ss114474,i do not raise my voice and i prefer to not do it in front of a lot of people because i don t feel that is productive,joy
ss50218,i want someone i can feel comfortable asking a million questions to while i make a million and one mistakes playing,joy
ss44122,im already feeling victimized enough as it is,sadness
ss364207,i think i might be gay and should just accept it my chest starts to hurt i want to cry and i feel completely hopeless,sadness
ss402323,i sympathize so that according to the dictionary is the term feelings and i think they use a lot of games sympathetic friends of,love
ss388883,i definitely feel on edge around people but im at least as afraid that i will screw things up as i am that they will,fear
ss343999,i feel really naughty buying them because i can never bring myself to use them because theyre so pretty and theyre not cheap,love
ss122816,i feel selfish but if i could change i would,anger
ss30019,im feeling very melancholy about some parts of my trip and missing that country today ill post a few pics a href https lh,sadness
ss261711,i am so grateful for this life growing inside of me and while i know i will wish time had gone slower i feel really impatient right now,anger
ss401501,i feel it was very successful with the things i chose to do,joy
ss347048,i can imagine that cabin that feeling of security within its shaky walls,fear
ss157963,i feel blessed that i am able to share these techniques while teaching this through the better together cooperative coaching center step of learning to live whole health balance,joy
ss374707,im excited to be a doctor and i feel incredibly privileged to have the opportunity to train at one of the top hospitals in the country but at the same time i know that my baby will always come first,joy
ss54574,i feel it s vital if such prizes are to retain any credibility whatsoever that a far broader range of styles and publishers are selected,joy
ss209255,i could feel like i smelled pretty,joy
ss408029,i kind of feel like an ass for not being truthful with him,joy
ss48328,i read your post it made me feel like here is one more person telling me what i should want what is acceptable to want and why what i want is not good for me because silly young female you just dont understand what you want need like someone else does,joy
ss76635,i feel like this shift might end up being a pleasant kiosk experience,joy
ss104759,i feel that there are two main factors listless it,sadness
ss269034,i hide from my thoughts which are often frightening or judgmental but even when they are inspired and positive manage to make me feel guilty for never acting on them or following through,sadness
ss365573,i may also want someone i feel completely comfortable with assisting me with things like hygiene rather than having to ask a stranger especially since the inpatient experience forcibly strips you of a fair amount of privacy and autonomy already,joy
ss290250,i feel awfully uncomfortable about going away said the girl in a troubled voice,fear
ss369848,i understand that this is an ongoing effect of the transference i developed and even though i feel i have shaken most of it off me some of it still remains,fear
ss8103,i also do not feel distressed but mixer is one of kitchen enginery that i like most,fear
ss120456,i am feeling envious,anger
ss15631,i couldnt be fucked cooking and was feeling greedy,anger
ss50678,i looked and looked and looked and began to feel dismayed that perhaps they stopped selling it,sadness
ss317830,ive been thinking about this issue recently in realist film or film with an element of realism at least i tend to feel dissatisfied if i dont feel that i understand the characters motivations,anger
ss310581,i i feel it is my duty to participate in the festival and admire the beloved tulip in its native land,joy
ss293868,i have run figures and it all works out great on paper but we are still waiting and it makes my insides feel shaky and i get nervous,fear
ss155231,i am miserable and cranky and feeling really distracted,anger
ss404776,i was still able to feel the contractions but i assured her that it was a lot better and i was able to sleep through my contractions,joy
ss140213,i dwell on this matter the more i feel infuriated that i m so lowly thought of,anger
ss405350,im bluntly feeling a little neurotic about my horses care,fear
ss150004,i feel more heartless than i already am,anger
ss287157,i was very joyful when i heard that i had passed the standard exams the day i heard the news was the day i celebrated my birthday,joy
ss415134,i have such good feelings towards wildlife rehabilitators because of a target blank href http www,sadness
ss129856,i have tried to explain to master how i think or rather feel about this about my submission and i have always said i dont feel submissive going on to explain that i feel submissive to him but i dont feel submissive in my head,sadness
ss19150,i have put it down to experience and am feeling massively more sociable,joy
ss96587,i feel only a little agitated right now,fear
ss231743,i just cant believe the boy looked like he was going to burst with happiness it made travis gut feel even more pained with guilt than before,sadness
ss324411,i feel a bit sad of leaving india behind,sadness
ss157750,i feel devastated without strength unable to wake up and cant even open my eyes because i was within her radius so close close to the center of the blast,sadness
ss278608,i sucked on his tongue not yet feeling very eager to get his own inside that dangerous mouth,joy
ss137844,i can feel my brain aching from the intense concentration required to try and keep up,sadness
ss105928,i feel disgusted with myself for going through that,anger
ss355649,ive gotta feel for him i just hate to see him so troubled,sadness
ss12097,i feel contented about it,joy
ss43790,im just feeling a bit bitter towards the subject at the moment,anger
ss229229,i think means to feel like you are ignored or unseen,sadness
ss240600,i am pissed off and feeling hostile myself,anger
ss240201,i could be in here for up to a week again and given how i feel at the moment i wouldnt be surprised if it is that long,surprise
ss342742,ive heard some translate it as everything will be tested which i feel is definitely an acceptable extrapolation from jesus statement and truly embraces the spirit of christs words,joy
ss353547,i keep reading that most women start to feel movement around week so i try and lay super still and wait for something to happen,joy
ss136532,i like the new ones better i feel they are superior to the originals in every single way,joy
ss208191,i really feel it will absolutely agitated a mom or father that will get informed in the pediatrician they really should spend in total for just about any possible doctor visits,fear
ss58052,i feel a sense of hope and optimism and i am resolved to allow myself to experience these emotions without regret cynicism guilt or embarrassment,joy
ss396235,i shal see that still skies are blue and feel once more i do not live in vain althought bereft of you perhaps the golden meadows at my feet will make the sunny hours of sprin seem gay and i shall find the white may blossoms sweet though you have passed away,sadness
ss265947,i would ask that when you hear this song again let it not remind you of the sadness you feel today but rather let it remind you of those precious lessons that ianto taught us and think about his family and the love they have for each other,joy
ss302710,i kept feeling it and loving it,love
ss213612,i said leaning away from him feeling a bit outraged,anger
ss113243,i feel as though the carefree feel good attitude that summer brings has been sucked right out of me,joy
ss389597,im feeling generally mellow and apathetic but i do get a bad case of pedestrian rage all the time sometimes when walking around,joy
ss7666,i wasnt feeling satisfied and we had also lost things in common,joy
ss348660,i feel so cold here,anger
ss393371,i feel i feel intelligent from the bottom of my brain and heart of course,joy
ss330968,i registed here just to get querbeets subs i have a feeling writing in here would be a pleasant,joy
ss282502,i feel reluctant when this anime finished i also feel the same way that i have to stop around here although i wanted to write longer,fear
ss297059,i say this morning i am feeling relaxed and calm,joy
ss134857,i feel ever so slightly dazed as i have to make the short walk from one chair to another,surprise
ss342864,i was happy to pass by miles and then miles feeling good,joy
ss405294,i know i shouldnt feel smug and uber happy that my candidate won the presidential election,joy
ss4158,i feel like such a fake but its too much to explain for now,sadness
ss63728,i was feeling i was enraged mad speechless and in the end i could barely keep from crying,anger
ss283358,i feel its better to look at the information you have access the risk and go for it rather than look back later and regret that you didnt try something different or new,joy
ss361421,i feel a longing to be home again which i hadn t felt for weeks,love
ss5687,i feel disgusted at myself for being like this,anger
ss312619,i am supposed to be at a fun house party with friends but i had to cancel because i feel so rotten,sadness
ss247991,i was feeling pretty apprehensive,fear
ss177025,i liked coming home tonight feeling respected rather than pitied for my past by people i havent seen since then,joy
ss312334,i feel like that part of me is fucked and drags me down its trying to fly but instead it perches on my back creating havoc,anger
ss259462,i feel your gentle breath on my cheek as i tend to my potted plants and sit on my porch,love
ss368265,i feel irritable and heavy headed,anger
ss190702,i turned my face away feeling shamed by the love that radiated off of him,sadness
ss307558,i end up feeling majorly dull in the brain and body,sadness
ss63396,im not feeling particularly generous,love
ss404009,i was feeling a longing so profound it is voiceless it dare not speak or rise toward the surface,love
ss208269,i feel all indecisive and frustrated,fear
ss404075,i cant say it necessarily hurts i just feel like everything is stressed to its limits and not flexible or mobile as it used to be,sadness
ss112808,i feel groggy and tired and im not ten pounds thinner instantly,sadness
ss176169,i feel dumb it was so clear that across the street from this area was where the bus would pick up,sadness
ss28525,i feel inhibited because of my weight,fear
ss94649,i did not feel pressured to be anything but honest in my response to his work,fear
ss12659,i feel a sense of longing when i hear about places and times like these,love
ss295003,i somehow feel glad shes now in malacca with me my younger sis,joy
ss153943,i feel my grandmother would be very happy to see how her profession has grown and developed since the formality of,joy
ss172343,i feel comfortable depending on romantic partners,joy
ss388703,when we forced a friend to chew a poisonous herb in primary school his tongue was swollen and he told his mother about it the mother reported it to the headmaster who threatened to expel us,fear
ss191297,i feel so perfectly loved,love
ss154725,i envision a new york girl like myself wearing to feel equally as cool if she were visiting paris or her parents out in the suburbs,joy
ss101918,i feel for those who loves someone but never loved back,love
ss18869,i feel gentle as if i have let go of so much,love
ss146153,i feel lonely in a crowd especially surrounded by others who lack that swarthy mysterious look i possess,sadness
ss15024,im once again an amoeba of a being who instead of understanding our national currency system and the logistics of a grocery store chews on the dollar bills because they feel funny in your mouth,surprise
ss118239,i feel he is going to recommend clomid and iui but im just not hopeful on the iui cause the statistics suck,joy
ss75510,i feel is sincere and not just for anyone who just wants to increase their ratings for monetizing their blog,joy
ss76761,i cant go into the pool cause of the tattoo but overall im feeling pretty mellow,joy
ss85774,i particularly hate this day because dammit i feel so hated and invisi,sadness
ss187998,i am feeling mad i can choose to be calm,anger
ss416317,i feel like shes getti more popular than me and that cant happen,joy
ss140108,i feel too overwhelmed to start a new project if my space is upside down so once im done everything goes back into its place ready for the next time,surprise
ss347006,im that person who feels passionate about everything,love
ss131097,i always feel a bit low during january but by mid feb im normally on the up again,sadness
ss186416,i express how i feel youll say im being impolite,anger
ss6703,i feel like we re in a rut and i was aching for a change,sadness
ss337664,i knew about must back then and it was all i needed to know then was that it made me feel like a messy luscious early eighties femme fatale,sadness
ss412801,i feel like there should be a lot more room between hated and not terrible with moments of brilliant than system appears to show between ils and andromeda but i will continue to use both systems for at least the next three reviews to get a better sampling size,sadness
ss279492,i feel even more assured that this is what i want to do,joy
ss59598,i am feeling welcomed,joy
ss116210,i started to feel truly joyful but then inexplicably sick,joy
ss130134,i came up with one innovation in the process of blocking the mittens that makes me feel clever i cut out cardboard into a mitten shape and used it to block the wet mittens over,joy
ss381451,im feeling pretty impressed with this early nile stuff,surprise
ss249497,i feel it is more important than ever for voters young and old to be encouraged to get out and exercise their right to vote added clyde williams a candidate for the th congressional district which includes harlem,joy
ss246045,i started to feel irritated because his response seemed out of all proportion to the demise of the fish,anger
ss317203,i have a feeling she had something to do with that one gets words confused,fear
ss345706,i have ever had and i feel drained but so alive now,sadness
ss19101,i feel i should add that i know some working writers who did not study creative writing and i know some people who did study creative writing and have not written seriously since school,joy
ss273348,i feel like im not important to the world,joy
ss8591,i feel like i have to be stubborn about this whole vegan thing but maybe thats the problem,anger
ss164750,i have a feeling that i am being hated already,sadness
ss400820,i feel very happy how lovely if you can like this again but since i moved im not in relation to him im sad i moved the seventh day he still contact me again but after that i entered the hostel m not there yet humm im sad now ive lost a little sad writing this blog because this,joy
ss324141,i do have a feeling there will be a shocked look on someone s face when i arrive in way too many hours and that it will result into going to ikea to get a massive storage system,surprise
ss47372,i feel like im just an extremely boring friend and they are only my friend because they want something,sadness
ss233163,i told her that i didnt feel like it that it was way too hot and humid to be walking outside,love
ss215258,i feel like my soul is being tortured while my hideous body goes unscathed,anger
ss139429,i can still sing them all word for word and i feel such a sense of freedom when i hear tom petty no matter what it is,anger
ss179036,i didn t feel stressed over our limited connections to other families,anger
